Samplingpoint,Pollutant,Start,End,Value,Unit,AggType,Validity,Verification,ResultTime,DataCapture,FkObservationLog
RO/SPO-RO0194A_00007_100,7,2024-12-31 23:00:00,2025-01-01 00:00:00,38.498140000000000000,ug.m-3,hour,1,2,2025-01-08 09:33:30,,a472877b-6896-45ca-a9a8-480930a3295f
RO/SPO-RO0194A_00007_100,7,2025-01-01 00:00:00,2025-01-01 01:00:00,43.291950000000000000,ug.m-3,hour,1,2,2025-12-18 15:24:02,,fbf6d9e6-8409-4768-89f8-d770c42c9b10
RO/SPO-RO0194A_00007_100,7,2025-01-01 01:00:00,2025-01-01 02:00:00,49.159830000000000000,ug.m-3,hour,1,2,2025-12-18 15:24:02,,fbf6d9e6-8409-4768-89f8-d770c42c9b10
RO/SPO-RO0194A_00007_100,7,2025-01-01 02:00:00,2025-01-01 03:00:00,48.245510000000000000,ug.m-3,hour,1,2,2025-12-18 15:24:02,,fbf6d9e6-8409-4768-89f8-d770c42c9b10
RO/SPO-RO0194A_00007_100,7,2025-01-01 03:00:00,2025-01-01 04:00:00,49.527170000000000000,ug.m-3,hour,1,2,2025-12-18 15:24:02,,fbf6d9e6-8409-4768-89f8-d770c42c9b10
RO/SPO-RO0194A_00007_100,7,2025-01-01 04:00:00,2025-01-01 05:00:00,55.072720000000000000,ug.m-3,hour,1,2,2025-12-18 15:24:02,,fbf6d9e6-8409-4768-89f8-d770c42c9b10
RO/SPO-RO0194A_00007_100,7,2025-01-01 05:00:00,2025-01-01 06:00:00,55.445580000000000000,ug.m-3,hour,1,2,2025-12-18 15:24:02,,fbf6d9e6-8409-4768-89f8-d770c42c9b10
RO/SPO-RO0194A_00007_100,7,2025-01-01 06:00:00,2025-01-01 07:00:00,53.359190000000000000,ug.m-3,hour,1,2,2025-12-18 15:24:02,,fbf6d9e6-8409-4768-89f8-d770c42c9b10
RO/SPO-RO0194A_00007_100,7,2025-01-01 07:00:00,2025-01-01 08:00:00,47.491760000000000000,ug.m-3,hour,1,2,2025-12-18 15:24:02,,fbf6d9e6-8409-4768-89f8-d770c42c9b10
RO/SPO-RO0194A_00007_100,7,2025-01-01 08:00:00,2025-01-01 09:00:00,46.221430000000000000,ug.m-3,hour,1,2,2025-12-18 15:24:02,,fbf6d9e6-8409-4768-89f8-d770c42c9b10
